Object,M_1e8Msun,D_A_Mpc,theta_microas,RA_hms,Dec_dms,freq_GHz,flux_Jy,ref
Mrk 0335,"0.063
0.14
0.16","107
107
111","0.0006
0.001
0.001",00 06 19.521,+ 20 12 10.49,20,<0.002,"[31]
[33]
[3]"
Mrk 1501,1.1,"382
344 (z)","0.003
0.003",00 10 31.0,+ 10 58 30,"22-24
41-43
100
230","0.5-1.6
1.0-3.6
1.6
0.48",[3]
"S5
0014+81",400,1531,0.26,00 17 08.5,+ 81 35 08,"15
30-31","0.47-0.916
0.63-1.4",[16]
"PG
0026+129","0.5
4
2.9","515
515
608","0.001
0.008
0.006",00 29 13.600,+ 13 16 03.00,300,<1.6,"[31]
[33]
[3]"
NGC 0193,2.5,50,0.05,00 39 18.6,+ 03 19 52,8,0.43,[3]
"NGC 0205
M 110",<0.0002,0.7,<0.0003,00 40 22.1,+ 41 41 07,"1.4
1500","<0.2
4",[3]
"Holmberg
15A
*MCG-02-
02-086","100
(10-
3100)",224 (z),0.45,00 41 50.5,- 09 18 11,"22.5
43","0.002
<0.002",[26]
"NGC 221
M 32","0.031
0.024
0.025","0.86
0.81
0.8","0.04
0.03
0.03",00 42 41.8,+ 40 51 55,"1.4
1500","<0.0007
<0.27","[19];
[5]
[38]
[3]"
"NGC 224
M 31","1.5
1.4","0.8
0.77","1.85
1.80",00 42 44.35,+ 41 16 08.6,"5
1900","0.036
7800","[19];
[5]
[38];
[3]"
NGC 0289,0.2,17.1,0.01,00 52 42.3,- 31 12 21,"1.4
3000","0.05
16",[3]
"PG
0052+251","2.2
4
2.8","551
551
661","0.004
0.007
0.005",00 54 52.100,+ 25 25 38.00,"9
1764","0.0007
0.125","[31]
[33]
[3]"
NGC 0300,<2×10−6,2.2,<10−6,00 54 53.5,- 37 41 04,1900,162,[3]
NGC 307,4,52.8,0.07,00 56 32.6,- 01 46 19,3000,<0.157,"[38]
[3]"
NGC 0315,8.3,58,0.14,00 57 48.9,+ 30 21 09,"22
41
100
300","0.79
1
0.35
0.062",[3]
"SDSS
J0100
+2802",124,1146 (z),0.10,01 00 13.02,- 28 02 25.8,,"in NED
absent",[46]
NGC 0383,5.8,59,0.10,01 07 24.9,+ 32 24 45,"10
100
300","1-1.2
0.079
0.074",[3]
NGC 0404,0.004,3.1,0.001,01 09 27.0,35 43 05,"15
95
1900","<0.001
<0.008
3.4",[3]
NGC 0428,<0.0003,16.1,<0.00002,01 12 55.7,+ 00 58 54,"15
3000","<0.0009
4.3",[3]
